;match_id;team_id;date_id;result;min;pts;fgm;fga;fgp;tpm;tpa;tpp;ftm;fta;ftp;oreb;dreb;reb;ast;tov;stl;blk;pf
347;11102022ATL;ATL;23;W;48;104;39;88;44.3;6;26;23.1;20;23;87.0;11;43;54;19;18;8;2;22
348;11102022WAS;DAL;23;L;48;105;37;86;43.0;18;47;38.3;13;21;61.9;7;34;41;19;13;9;1;13
349;11102022MIA;CHA;23;L;53;112;43;88;48.9;14;39;35.9;12;20;60.0;8;42;50;23;21;4;2;30
350;11112022MEM;MIN;24;L;48;103;37;79;46.8;10;30;33.3;19;22;86.4;7;26;33;29;15;10;4;25
351;11112022ORL;PHX;24;L;48;97;38;95;40.0;13;42;31.0;8;9;88.9;11;27;38;22;11;7;4;14
352;11112022GSW;CLE;24;L;48;101;37;92;40.2;8;30;26.7;19;26;73.1;14;32;46;25;13;6;3;17
353;11112022NYK;DET;24;L;48;112;37;80;46.3;7;31;22.6;31;41;75.6;12;31;43;22;15;6;6;23
354;11112022ORL;ORL;24;W;48;114;43;82;52.4;15;33;45.5;13;15;86.7;9;41;50;23;15;2;4;11
355;11112022BOS;DEN;24;L;48;112;42;92;45.7;12;29;41.4;16;20;80.0;11;27;38;26;6;3;1;16
356;11112022LAL;LAL;24;L;48;114;42;88;47.7;10;25;40.0;20;26;76.9;14;27;41;22;14;11;5;22
357;11112022SAS;SAS;24;W;48;111;43;85;50.6;12;31;38.7;13;15;86.7;9;41;50;22;19;3;13;22
358;11112022GSW;GSW;24;W;48;106;40;82;48.8;15;36;41.7;11;14;78.6;8;36;44;29;15;5;3;27
359;11112022BOS;BOS;24;W;48;131;50;90;55.6;16;37;43.2;15;20;75.0;10;36;46;30;7;3;5;19
360;11112022NYK;NYK;24;W;48;121;42;94;44.7;10;40;25.0;27;29;93.1;16;31;47;23;11;7;3;31
361;11112022OKC;OKC;24;W;48;132;52;93;55.9;15;36;41.7;13;17;76.5;15;29;44;31;19;10;6;27
