match_id;date_id;away_team;away_pts;home_pts;home_team
11052022MIL;19;OKC;108;94;MIL
11052022ATL;19;NOP;124;121;ATL
11052022DEN;19;SAS;126;101;DEN
11052022MIN;19;HOU;129;117;MIN
11052022CHA;19;BKN;98;94;CHA
11062022TOR;20;CHI;113;104;TOR
11062022MEM;20;WAS;97;103;MEM
11062022LAC;20;UTA;110;102;LAC
11062022LAL;20;CLE;100;114;LAL
11072022ATL;21;MIL;117;98;ATL
11072022UTA;21;LAL;116;139;UTA
11072022SAS;21;DEN;109;115;SAS
11072022PHI;21;PHX;100;88;PHI
11072022ORL;21;HOU;134;127;ORL
11072022MIA;21;POR;107;110;MIA
11072022MIN;21;NYK;120;107;MIN
11072022LAC;21;CLE;119;117;LAC
11072022IND;21;NOP;122;129;IND
11072022GSW;21;SAC;116;113;GSW
11072022DET;21;OKC;103;112;DET
11072022DAL;21;BKN;96;94;DAL
11072022CHI;21;TOR;111;97;CHI
11072022CHA;21;WAS;108;100;CHA
11072022MEM;21;BOS;106;109;MEM
11092022ORL;22;DAL;94;87;ORL
11092022TOR;22;HOU;116;109;TOR
11092022SAS;22;MEM;124;122;SAS
11092022SAC;22;CLE;127;120;SAC
11092022OKC;22;MIL;132;136;OKC
11092022ATL;22;UTA;125;119;ATL
11092022LAC;22;LAL;114;101;LAC
11092022IND;22;DEN;122;119;IND
11092022CHI;22;NOP;115;111;CHI
11092022CHA;22;POR;105;95;CHA
11092022BOS;22;DET;128;112;BOS
11092022BKN;22;NYK;85;112;BKN
11092022MIN;22;PHX;117;129;MIN
11102022WAS;23;DAL;105;113;WAS
11102022MIA;23;CHA;112;117;MIA
11102022ATL;23;PHI;104;95;ATL
11102022NOP;23;POR;106;95;NOP
11112022BOS;24;DEN;131;112;BOS
11112022GSW;24;CLE;106;101;GSW
11112022LAL;24;SAC;120;114;LAL
11112022MEM;24;MIN;114;103;MEM
11112022NYK;24;DET;121;112;NYK
11112022OKC;24;TOR;113;132;OKC
11112022ORL;24;PHX;114;97;ORL
11112022SAS;24;MIL;93;111;SAS
11122022WAS;25;UTA;112;121;WAS
11122022PHI;25;ATL;109;121;PHI
11122022NOP;25;HOU;106;119;NOP
11122022LAC;25;BKN;110;95;LAC
11122022IND;25;TOR;104;118;IND
11122022DET;25;BOS;117;108;DET
11122022DAL;25;POR;117;112;DAL
11122022MIA;25;CHA;115;132;MIA
11132022CHI;26;DEN;126;103;CHI
11132022CLE;26;MIN;124;129;CLE
11132022LAL;26;BKN;103;116;LAL
