;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
361;GSW @ MEM;03/09/2023;L;48;110;36;82;43.9;15;45;33.3;23;24;95.8;8;24;32;25;17;9;3;17;-21
362;CHA @ DET;03/09/2023;W;48;113;43;86;50.0;8;24;33.3;19;32;59.4;13;31;44;24;13;11;9;18;10
363;MIL vs. BKN;03/09/2023;W;48;118;44;104;42.3;19;50;38.0;11;14;78.6;20;41;61;33;16;8;12;14;5
364;UTA @ ORL;03/09/2023;W;48;131;49;88;55.7;13;34;38.2;20;21;95.2;11;31;42;27;18;7;8;26;7
365;SAC vs. NYK;03/09/2023;W;48;122;44;84;52.4;10;32;31.3;24;32;75.0;6;36;42;28;12;10;3;21;5
366;IND vs. HOU;03/09/2023;W;53;134;48;100;48.0;18;45;40.0;20;21;95.2;8;34;42;34;12;12;15;21;9
367;MEM vs. GSW;03/09/2023;W;48;131;50;93;53.8;18;40;45.0;13;18;72.2;9;33;42;36;14;6;3;18;21
368;TOR @ LAC;03/08/2023;L;48;100;37;96;38.5;13;32;40.6;13;14;92.9;15;26;41;21;12;12;2;23;-8
369;CLE @ MIA;03/08/2023;W;48;104;39;80;48.8;9;28;32.1;17;19;89.5;7;25;32;26;17;13;3;23;4
370;BOS vs. POR;03/08/2023;W;48;115;42;88;47.7;18;49;36.7;13;20;65.0;5;40;45;26;11;9;2;20;22
371;ATL @ WAS;03/08/2023;W;48;122;45;85;52.9;12;29;41.4;20;26;76.9;8;28;36;26;11;11;5;17;2
372;CHI @ DEN;03/08/2023;W;48;117;46;89;51.7;8;24;33.3;17;18;94.4;9;41;50;26;9;9;2;16;21
373;POR @ BOS;03/08/2023;L;48;93;30;82;36.6;11;39;28.2;22;27;81.5;6;41;47;18;16;5;2;19;-22
374;LAC vs. TOR;03/08/2023;W;48;108;39;71;54.9;6;20;30.0;24;31;77.4;9;35;44;23;17;9;4;18;8
375;WAS vs. ATL;03/08/2023;L;48;120;47;83;56.6;12;29;41.4;14;17;82.4;6;33;39;34;19;9;1;16;-2
376;PHX vs. OKC;03/08/2023;W;48;132;49;94;52.1;20;43;46.5;14;16;87.5;14;40;54;31;15;10;7;17;31
377;DEN vs. CHI;03/08/2023;L;48;96;37;88;42.0;15;40;37.5;7;15;46.7;11;33;44;26;11;5;2;16;-21
378;OKC @ PHX;03/08/2023;L;48;101;33;88;37.5;15;43;34.9;20;21;95.2;7;30;37;23;16;9;2;13;-31
379;MIA vs. CLE;03/08/2023;L;48;100;35;70;50.0;8;29;27.6;22;29;75.9;10;27;37;22;24;7;4;19;-4
380;DAL @ NOP;03/08/2023;L;48;106;38;88;43.2;16;46;34.8;14;19;73.7;5;29;34;24;9;7;0;18;-7
381;NOP vs. DAL;03/08/2023;W;48;113;42;83;50.6;13;27;48.1;16;18;88.9;9;40;49;32;15;4;6;19;7
382;GSW @ OKC;03/07/2023;L;48;128;47;89;52.8;20;51;39.2;14;16;87.5;8;25;33;36;21;8;3;21;-9
383;NYK vs. CHA;03/07/2023;L;48;105;38;89;42.7;11;40;27.5;18;24;75.0;10;29;39;18;8;3;4;18;-7
384;UTA @ DAL;03/07/2023;L;48;116;41;92;44.6;15;44;34.1;19;25;76.0;6;41;47;23;16;10;4;23;-4
385;OKC vs. GSW;03/07/2023;W;48;137;50;94;53.2;17;37;45.9;20;24;83.3;13;31;44;28;18;10;2;17;9
386;PHI @ MIN;03/07/2023;W;48;117;40;81;49.4;15;25;60.0;22;23;95.7;8;46;54;21;16;8;6;17;23
