;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;+/-
549;CHA @ MIN;02/24/2023;W;48;121;43;92;46.7;10;28;35.7;25;28;89.3;11;41;52;25;11;10;4;17;8
550;SAC @ LAC;02/24/2023;W;58;176;65;111;58.6;18;41;43.9;28;35;80.0;12;31;43;33;15;18;3;28;1
551;OKC @ PHX;02/24/2023;L;48;115;41;95;43.2;15;38;39.5;18;24;75.0;14;33;47;27;9;5;2;21;-9
552;GSW vs. HOU;02/24/2023;W;48;116;37;78;47.4;26;54;48.1;16;18;88.9;7;40;47;27;19;3;3;20;15
553;MIL vs. MIA;02/24/2023;W;48;128;47;98;48.0;19;46;41.3;15;19;78.9;10;47;57;27;12;6;1;18;29
554;LAC vs. SAC;02/24/2023;L;58;175;59;98;60.2;26;45;57.8;31;36;86.1;7;35;42;39;25;8;3;27;-1
555;HOU @ GSW;02/24/2023;L;48;101;36;92;39.1;11;35;31.4;18;22;81.8;13;31;44;23;7;12;3;18;-15
556;BKN @ CHI;02/24/2023;L;48;87;30;81;37.0;12;44;27.3;15;19;78.9;5;26;31;21;14;6;3;25;-44
557;ATL vs. CLE;02/24/2023;W;48;136;50;85;58.8;15;28;53.6;21;23;91.3;5;37;42;28;14;7;8;21;17
558;NYK @ WAS;02/24/2023;W;48;115;45;92;48.9;12;29;41.4;13;16;81.3;12;31;43;21;12;9;2;17;6
559;MIA @ MIL;02/24/2023;L;48;99;36;92;39.1;9;40;22.5;18;25;72.0;9;36;45;21;10;5;5;17;-29
560;MIN vs. CHA;02/24/2023;L;48;113;46;93;49.5;11;33;33.3;10;16;62.5;7;38;45;25;16;6;11;20;-8
561;CLE @ ATL;02/24/2023;L;48;119;40;88;45.5;13;35;37.1;26;29;89.7;10;25;35;20;11;9;6;23;-17
562;PHX vs. OKC;02/24/2023;W;48;124;42;90;46.7;14;38;36.8;26;32;81.3;15;39;54;23;11;5;5;22;9
563;WAS vs. NYK;02/24/2023;L;48;109;39;79;49.4;19;44;43.2;12;12;100;3;31;34;25;19;6;6;20;-6
564;POR @ SAC;02/23/2023;L;48;116;43;93;46.2;16;38;42.1;14;17;82.4;9;24;33;26;13;12;3;23;-17
565;DET @ ORL;02/23/2023;L;48;106;37;81;45.7;17;34;50.0;15;19;78.9;6;39;45;22;21;5;7;25;-2
566;ORL vs. DET;02/23/2023;W;48;108;39;95;41.1;12;31;38.7;18;23;78.3;12;34;46;27;14;7;6;19;2
567;SAS @ DAL;02/23/2023;L;48;116;45;86;52.3;10;25;40.0;16;23;69.6;10;35;45;30;17;4;1;25;-26
568;GSW @ LAL;02/23/2023;L;48;111;40;105;38.1;14;49;28.6;17;21;81.0;17;31;48;24;10;10;3;23;-13
569;IND vs. BOS;02/23/2023;L;53;138;49;94;52.1;22;49;44.9;18;22;81.8;10;27;37;33;15;10;5;23;-4
570;TOR vs. NOP;02/23/2023;W;48;115;43;92;46.7;9;31;29.0;20;25;80.0;11;37;48;17;12;10;5;20;5
571;PHI vs. MEM;02/23/2023;W;48;110;34;84;40.5;13;36;36.1;29;36;80.6;7;36;43;25;12;3;10;26;5
572;DAL vs. SAS;02/23/2023;W;48;142;46;82;56.1;22;42;52.4;28;36;77.8;3;33;36;27;7;10;5;18;26
573;BOS @ IND;02/23/2023;W;53;142;51;99;51.5;18;39;46.2;22;26;84.6;20;31;51;31;15;7;6;18;4
574;LAL vs. GSW;02/23/2023;W;48;124;42;86;48.8;16;30;53.3;24;34;70.6;10;48;58;30;16;8;3;20;13
575;NOP @ TOR;02/23/2023;L;48;110;39;84;46.4;13;30;43.3;19;25;76.0;6;37;43;23;13;6;2;19;-5
576;DEN @ CLE;02/23/2023;W;48;115;39;84;46.4;17;36;47.2;20;23;87.0;18;29;47;30;16;7;4;20;6
577;CLE vs. DEN;02/23/2023;L;48;109;43;90;47.8;6;26;23.1;17;20;85.0;13;28;41;24;11;10;2;21;-6
578;OKC @ UTA;02/23/2023;L;53;119;45;112;40.2;8;37;21.6;21;27;77.8;20;34;54;23;11;8;3;23;-1
579;MEM @ PHI;02/23/2023;L;48;105;34;87;39.1;7;32;21.9;30;36;83.3;13;36;49;22;11;5;7;27;-5
580;SAC vs. POR;02/23/2023;W;48;133;47;85;55.3;14;34;41.2;25;31;80.6;12;37;49;27;18;9;4;16;17
581;UTA vs. OKC;02/23/2023;W;53;120;42;100;42.0;13;48;27.1;23;27;85.2;17;41;58;26;22;8;10;29;1
582;CHI vs. MIL;02/16/2023;L;48;100;37;97;38.1;10;32;31.3;16;21;76.2;15;36;51;19;6;4;2;17;-12
583;WAS @ MIN;02/16/2023;W;48;114;43;95;45.3;14;35;40.0;14;17;82.4;13;36;49;25;16;13;6;14;8
584;MIL @ CHI;02/16/2023;W;48;112;40;88;45.5;18;47;38.3;14;18;77.8;9;43;52;24;9;4;7;16;12
585;LAC @ PHX;02/16/2023;W;48;116;40;82;48.8;11;34;32.4;25;27;92.6;8;35;43;29;14;8;2;19;9
586;MIN vs. WAS;02/16/2023;L;48;106;39;95;41.1;8;29;27.6;20;22;90.9;16;37;53;21;18;8;5;16;-8
587;PHX vs. LAC;02/16/2023;L;48;107;42;89;47.2;11;31;35.5;12;16;75.0;7;31;38;30;14;10;2;24;-9
588;BOS vs. DET;02/15/2023;W;48;127;49;92;53.3;21;45;46.7;8;10;80.0;8;35;43;30;11;10;5;18;18
589;OKC vs. HOU;02/15/2023;W;48;133;42;87;48.3;9;34;26.5;40;47;85.1;10;39;49;21;11;8;4;21;37
590;DET @ BOS;02/15/2023;L;48;109;43;84;51.2;11;29;37.9;12;16;75.0;6;29;35;24;14;6;4;16;-18
591;NYK @ ATL;02/15/2023;W;48;122;45;96;46.9;14;43;32.6;18;22;81.8;10;45;55;16;10;2;4;21;21
592;NOP @ LAL;02/15/2023;L;48;102;39;89;43.8;7;25;28.0;17;24;70.8;13;37;50;24;15;5;3;28;-18
593;CHA vs. SAS;02/15/2023;W;48;120;43;96;44.8;14;35;40.0;20;29;69.0;15;43;58;26;16;8;12;17;10
594;MIA @ BKN;02/15/2023;L;48;105;38;83;45.8;8;28;28.6;21;29;72.4;12;29;41;19;8;4;3;18;-11
595;UTA @ MEM;02/15/2023;L;48;111;42;91;46.2;12;36;33.3;15;19;78.9;15;46;61;24;24;2;8;20;-6
596;CHI @ IND;02/15/2023;L;48;113;41;84;48.8;15;35;42.9;16;21;76.2;6;32;38;23;14;10;6;21;-4
597;CLE @ PHI;02/15/2023;L;48;112;41;82;50.0;10;30;33.3;20;25;80.0;10;25;35;23;8;7;5;17;-6
598;MEM vs. UTA;02/15/2023;W;48;117;43;107;40.2;14;40;35.0;17;25;68.0;17;29;46;24;4;13;9;21;6
599;PHI vs. CLE;02/15/2023;W;48;118;39;78;50.0;13;27;48.1;27;29;93.1;8;30;38;24;12;7;4;22;6
600;SAS @ CHA;02/15/2023;L;48;110;41;107;38.3;13;38;34.2;15;20;75.0;20;38;58;24;15;7;6;24;-10
601;ATL vs. NYK;02/15/2023;L;48;101;40;97;41.2;5;26;19.2;16;21;76.2;8;32;40;25;5;6;7;18;-21
602;DAL @ DEN;02/15/2023;L;48;109;39;84;46.4;14;39;35.9;17;20;85.0;6;25;31;25;12;8;3;13;-9
603;BKN vs. MIA;02/15/2023;W;48;116;41;77;53.2;17;39;43.6;17;20;85.0;5;31;36;26;11;3;5;27;11
604;IND vs. CHI;02/15/2023;W;48;117;39;82;47.6;18;43;41.9;21;22;95.5;6;35;41;27;19;6;5;19;4
605;DEN vs. DAL;02/15/2023;W;48;118;48;84;57.1;11;31;35.5;11;15;73.3;6;37;43;34;13;7;5;14;9
606;LAL vs. NOP;02/15/2023;W;48;120;44;83;53.0;10;37;27.0;22;36;61.1;6;37;43;32;11;5;8;23;18
607;HOU @ OKC;02/15/2023;L;48;96;30;89;33.7;10;37;27.0;26;38;68.4;14;33;47;20;18;5;7;33;-37
608;GSW @ LAC;02/14/2023;L;48;124;45;83;54.2;15;34;44.1;19;27;70.4;8;28;36;28;11;2;1;22;-10
609;LAC vs. GSW;02/14/2023;W;48;134;49;92;53.3;17;36;47.2;19;22;86.4;12;24;36;33;8;5;4;22;10
610;WAS @ POR;02/14/2023;W;48;126;45;79;57.0;17;33;51.5;19;22;86.4;5;39;44;28;16;5;2;17;25
611;SAC @ PHX;02/14/2023;L;48;109;37;83;44.6;14;38;36.8;21;24;87.5;13;27;40;23;17;8;4;21;-11
612;PHX vs. SAC;02/14/2023;W;48;120;50;88;56.8;7;22;31.8;13;16;81.3;8;29;37;33;15;12;4;17;11
613;MIL vs. BOS;02/14/2023;W;53;131;43;90;47.8;18;42;42.9;27;35;77.1;10;42;52;29;19;6;3;23;6
614;BOS @ MIL;02/14/2023;L;53;125;46;99;46.5;17;50;34.0;16;20;80.0;8;36;44;28;13;8;1;26;-6
615;ORL @ TOR;02/14/2023;L;48;113;43;84;51.2;13;31;41.9;14;18;77.8;9;20;29;26;19;6;2;17;-10
616;POR vs. WAS;02/14/2023;L;48;101;36;86;41.9;12;42;28.6;17;24;70.8;12;25;37;20;12;9;5;19;-25
617;TOR vs. ORL;02/14/2023;W;48;123;50;83;60.2;8;24;33.3;15;20;75.0;13;27;40;31;20;9;11;16;10
618;MIN @ DAL;02/13/2023;W;48;124;48;83;57.8;9;29;31.0;19;26;73.1;10;29;39;28;12;8;2;26;3
619;CLE vs. SAS;02/13/2023;W;48;117;44;78;56.4;9;28;32.1;20;25;80.0;11;25;36;21;14;8;6;16;8
620;CHI vs. ORL;02/13/2023;L;48;91;35;86;40.7;3;21;14.3;18;19;94.7;10;34;44;17;16;8;3;21;-9
621;DEN @ MIA;02/13/2023;W;48;112;44;76;57.9;11;28;39.3;13;15;86.7;6;33;39;34;13;3;4;18;4
622;HOU @ PHI;02/13/2023;L;48;104;35;86;40.7;6;24;25.0;28;31;90.3;15;27;42;17;17;10;2;15;-19
623;PHI vs. HOU;02/13/2023;W;48;123;46;82;56.1;15;34;44.1;16;17;94.1;7;31;38;26;16;11;7;24;19
624;BKN @ NYK;02/13/2023;L;48;106;35;78;44.9;12;29;41.4;24;33;72.7;10;29;39;18;10;3;3;19;-18
625;MIA vs. DEN;02/13/2023;L;48;108;39;89;43.8;12;35;34.3;18;20;90.0;9;25;34;25;9;9;4;14;-4
626;NOP @ OKC;02/13/2023;W;48;103;39;74;52.7;9;30;30.0;16;18;88.9;4;29;33;19;19;13;8;21;3
627;CHA vs. ATL;02/13/2023;W;48;144;53;84;63.1;20;37;54.1;18;23;78.3;3;32;35;36;17;5;5;19;6
628;SAS @ CLE;02/13/2023;L;48;109;43;85;50.6;8;21;38.1;15;20;75.0;11;24;35;27;18;10;1;21;-8
629;NYK vs. BKN;02/13/2023;W;48;124;45;82;54.9;15;34;44.1;19;26;73.1;6;32;38;18;8;4;3;24;18
630;DAL vs. MIN;02/13/2023;L;48;121;43;84;51.2;13;39;33.3;22;29;75.9;9;24;33;21;11;5;1;21;-3
631;UTA @ IND;02/13/2023;W;48;123;43;85;50.6;15;33;45.5;22;25;88.0;11;35;46;24;19;5;3;17;6
632;LAL @ POR;02/13/2023;L;48;115;42;95;44.2;12;37;32.4;19;21;90.5;14;42;56;24;13;6;5;16;-12
633;IND vs. UTA;02/13/2023;L;48;117;46;91;50.5;11;34;32.4;14;20;70.0;8;24;32;30;11;11;7;21;-6
634;GSW vs. WAS;02/13/2023;W;48;135;52;89;58.4;20;40;50.0;11;15;73.3;11;23;34;40;16;10;0;19;9
635;OKC vs. NOP;02/13/2023;L;48;100;38;90;42.2;9;33;27.3;15;18;83.3;14;29;43;20;17;8;3;17;-3
636;WAS @ GSW;02/13/2023;L;48;126;48;80;60.0;12;28;42.9;18;21;85.7;9;24;33;26;17;10;3;15;-9
637;ORL @ CHI;02/13/2023;W;48;100;38;81;46.9;8;27;29.6;16;19;84.2;7;35;42;24;18;8;6;19;9
638;POR vs. LAL;02/13/2023;W;48;127;46;97;47.4;23;47;48.9;12;13;92.3;8;34;42;27;7;7;9;15;12
639;ATL @ CHA;02/13/2023;L;48;138;53;108;49.1;11;28;39.3;21;21;100;16;26;42;26;12;9;4;15;-6
640;MEM @ BOS;02/12/2023;L;48;109;42;84;50.0;12;34;35.3;13;21;61.9;3;31;34;24;8;4;5;22;-10
641;BOS vs. MEM;02/12/2023;W;48;119;39;88;44.3;21;51;41.2;20;26;76.9;15;40;55;28;11;5;3;14;10
642;TOR vs. DET;02/12/2023;W;48;119;42;87;48.3;11;30;36.7;24;36;66.7;13;27;40;21;8;5;8;26;1
643;DET @ TOR;02/12/2023;L;48;118;40;79;50.6;13;34;38.2;25;32;78.1;6;26;32;25;18;3;4;26;-1
644;IND @ WAS;02/11/2023;L;48;113;43;95;45.3;14;40;35.0;13;17;76.5;17;16;33;27;8;8;3;18;-14
645;GSW vs. LAL;02/11/2023;L;48;103;40;96;41.7;12;44;27.3;11;12;91.7;7;36;43;31;16;11;6;21;-6
646;WAS vs. IND;02/11/2023;W;48;127;48;75;64.0;12;26;46.2;19;22;86.4;8;32;40;32;18;5;7;16;14
647;CHA vs. DEN;02/11/2023;L;48;105;40;85;47.1;8;32;25.0;17;29;58.6;5;32;37;25;14;11;8;18;-14
648;NYK vs. UTA;02/11/2023;W;48;126;43;95;45.3;12;36;33.3;28;38;73.7;20;32;52;18;6;6;4;24;6
649;LAL @ GSW;02/11/2023;W;48;109;40;89;44.9;8;25;32.0;21;26;80.8;10;42;52;19;16;4;4;12;6
650;CHI @ CLE;02/11/2023;L;48;89;36;74;48.6;5;21;23.8;12;15;80.0;6;38;44;27;23;7;3;22;-8
651;BKN vs. PHI;02/11/2023;L;48;98;37;92;40.2;13;40;32.5;11;13;84.6;12;30;42;23;9;7;6;20;-3
652;UTA @ NYK;02/11/2023;L;48;120;45;88;51.1;9;32;28.1;21;28;75.0;11;27;38;23;12;3;7;24;-6
653;DAL @ SAC;02/11/2023;L;53;128;47;91;51.6;20;51;39.2;14;19;73.7;7;36;43;27;16;4;4;19;-5
654;PHI @ BKN;02/11/2023;W;48;101;33;75;44.0;6;23;26.1;29;30;96.7;8;33;41;17;12;4;3;12;3
655;ORL vs. MIA;02/11/2023;L;53;103;37;87;42.5;11;29;37.9;18;23;78.3;12;32;44;22;18;12;5;24;-4
656;MIA @ ORL;02/11/2023;W;53;107;37;85;43.5;12;39;30.8;21;23;91.3;11;35;46;24;20;7;6;22;4
657;CLE vs. CHI;02/11/2023;W;48;97;36;86;41.9;9;35;25.7;16;19;84.2;10;29;39;26;13;9;4;15;8
658;SAC vs. DAL;02/11/2023;W;53;133;51;100;51.0;8;32;25.0;23;25;92.0;11;39;50;22;7;9;0;17;5
659;ATL vs. SAS;02/11/2023;W;48;125;50;103;48.5;10;26;38.5;15;19;78.9;14;34;48;29;10;9;6;10;19
660;SAS @ ATL;02/11/2023;L;48;106;40;94;42.6;11;37;29.7;15;17;88.2;14;35;49;25;20;9;5;17;-19
661;DEN @ CHA;02/11/2023;W;48;119;50;99;50.5;5;23;21.7;14;17;82.4;14;37;51;35;14;7;5;20;14
662;LAC vs. MIL;02/10/2023;L;48;106;42;85;49.4;11;33;33.3;11;14;78.6;3;32;35;17;10;5;7;12;-13
663;TOR vs. UTA;02/10/2023;L;48;116;41;91;45.1;12;34;35.3;22;30;73.3;9;31;40;28;13;11;3;30;-6
664;CHA @ BOS;02/10/2023;L;48;116;45;93;48.4;8;23;34.8;18;26;69.2;11;36;47;26;13;9;6;18;-11
665;NYK @ PHI;02/10/2023;L;48;108;43;81;53.1;11;32;34.4;11;16;68.8;4;31;35;23;12;1;5;17;-11
666;MEM vs. MIN;02/10/2023;W;48;128;49;84;58.3;10;25;40.0;20;27;74.1;9;35;44;27;19;12;6;19;21
667;PHX @ IND;02/10/2023;W;48;117;43;93;46.2;10;33;30.3;21;24;87.5;19;34;53;25;17;13;2;24;13
668;NOP vs. CLE;02/10/2023;L;48;107;39;82;47.6;9;24;37.5;20;25;80.0;11;23;34;25;14;8;3;18;-11
669;UTA @ TOR;02/10/2023;W;48;122;47;87;54.0;6;24;25.0;22;29;75.9;9;37;46;31;17;6;6;20;6
670;MIL @ LAC;02/10/2023;W;48;119;45;90;50.0;17;39;43.6;12;16;75.0;9;40;49;28;11;8;4;13;13
671;IND vs. PHX;02/10/2023;L;48;104;36;85;42.4;11;39;28.2;21;28;75.0;11;27;38;23;15;9;3;16;-13
672;BOS vs. CHA;02/10/2023;W;48;127;44;89;49.4;25;55;45.5;14;17;82.4;5;38;43;34;15;7;7;22;11
673;SAS @ DET;02/10/2023;L;58;131;45;107;42.1;14;42;33.3;27;34;79.4;13;38;51;21;19;7;3;32;-7
674;OKC @ POR;02/10/2023;W;48;138;47;83;56.6;12;24;50.0;32;35;91.4;10;19;29;29;11;9;3;26;9
675;MIA vs. HOU;02/10/2023;W;48;97;32;77;41.6;12;38;31.6;21;22;95.5;6;34;40;21;17;11;6;23;2
676;MIN @ MEM;02/10/2023;L;48;107;41;88;46.6;15;37;40.5;10;12;83.3;7;28;35;25;18;7;4;20;-21
677;SAC vs. DAL;02/10/2023;L;48;114;39;72;54.2;9;27;33.3;27;32;84.4;5;33;38;21;14;2;4;19;-8
678;HOU @ MIA;02/10/2023;L;48;95;35;84;41.7;7;30;23.3;18;24;75.0;10;37;47;23;18;11;4;21;-2
679;DET vs. SAS;02/10/2023;W;58;138;46;107;43.0;7;37;18.9;39;49;79.6;21;41;62;29;16;6;5;29;7
680;CLE @ NOP;02/10/2023;W;48;118;48;85;56.5;10;28;35.7;12;15;80.0;12;29;41;28;14;9;5;22;11
681;DAL @ SAC;02/10/2023;W;48;122;43;88;48.9;18;43;41.9;18;19;94.7;11;28;39;34;12;4;0;19;8
682;PHI vs. NYK;02/10/2023;W;48;119;44;84;52.4;14;38;36.8;17;22;77.3;6;34;40;27;8;8;2;15;11
683;POR vs. OKC;02/10/2023;L;48;129;42;76;55.3;16;40;40.0;29;31;93.5;9;23;32;29;20;3;5;27;-9
684;ATL vs. PHX;02/09/2023;W;48;116;43;95;45.3;10;29;34.5;20;27;74.1;20;39;59;23;19;6;4;22;9
685;DEN @ ORL;02/09/2023;L;48;104;39;84;46.4;10;33;30.3;16;24;66.7;7;32;39;24;16;6;5;15;-11
686;BKN vs. CHI;02/09/2023;W;48;116;39;91;42.9;17;44;38.6;21;25;84.0;11;38;49;26;11;8;1;20;11
687;ORL vs. DEN;02/09/2023;W;48;115;47;97;48.5;9;27;33.3;12;19;63.2;15;32;47;24;10;12;6;16;11
688;PHX @ ATL;02/09/2023;L;48;107;39;86;45.3;7;30;23.3;22;29;75.9;9;26;35;24;11;14;10;19;-9
689;LAL vs. MIL;02/09/2023;L;48;106;42;89;47.2;7;18;38.9;15;21;71.4;11;32;43;23;12;2;2;19;-9
690;MIL @ LAL;02/09/2023;W;48;115;45;99;45.5;12;47;25.5;13;18;72.2;16;35;51;24;11;5;7;20;9
691;CHI @ BKN;02/09/2023;L;48;105;42;91;46.2;5;26;19.2;16;21;76.2;8;38;46;15;12;4;2;16;-11
692;PHI @ BOS;02/08/2023;L;48;99;37;83;44.6;10;31;32.3;15;20;75.0;8;29;37;20;7;9;3;16;-7
693;MIN @ UTA;02/08/2023;W;48;143;56;98;57.1;23;43;53.5;8;8;100;8;39;47;35;11;6;6;19;25
694;LAC vs. DAL;02/08/2023;L;48;104;38;86;44.2;12;33;36.4;16;21;76.2;9;31;40;21;11;10;4;18;-6
695;SAC @ HOU;02/08/2023;W;48;130;46;92;50.0;10;30;33.3;28;30;93.3;10;21;31;29;9;10;4;15;2
696;CLE vs. DET;02/08/2023;W;48;113;43;87;49.4;6;26;23.1;21;25;84.0;13;37;50;30;13;8;4;16;28
697;BOS vs. PHI;02/08/2023;W;48;106;40;76;52.6;19;35;54.3;7;10;70.0;5;39;44;25;15;2;5;19;7
698;TOR vs. SAS;02/08/2023;W;48;112;43;88;48.9;10;28;35.7;16;21;76.2;9;42;51;21;17;11;7;19;14
699;HOU vs. SAC;02/08/2023;L;48;128;47;86;54.7;10;22;45.5;24;28;85.7;15;29;44;25;19;4;7;21;-2
700;CHA @ WAS;02/08/2023;L;48;104;39;93;41.9;9;31;29.0;17;21;81.0;12;28;40;23;7;11;5;17;-14
701;WAS vs. CHA;02/08/2023;W;48;118;44;87;50.6;15;37;40.5;15;17;88.2;11;41;52;29;17;4;12;17;14
702;IND @ MIA;02/08/2023;L;48;111;38;78;48.7;15;33;45.5;20;28;71.4;5;26;31;24;11;3;5;25;-5
703;SAS @ TOR;02/08/2023;L;48;98;35;87;40.2;9;32;28.1;19;27;70.4;7;32;39;24;16;11;4;18;-14
704;MIA vs. IND;02/08/2023;W;48;116;37;79;46.8;6;19;31.6;36;39;92.3;15;33;48;21;13;7;3;22;5
705;UTA vs. MIN;02/08/2023;L;48;118;44;105;41.9;12;34;35.3;18;21;85.7;21;29;50;27;8;2;5;12;-25
706;DET @ CLE;02/08/2023;L;48;85;30;81;37.0;8;32;25.0;17;18;94.4;9;23;32;19;14;8;6;21;-28
707;POR vs. GSW;02/08/2023;W;48;125;43;78;55.1;8;27;29.6;31;32;96.9;12;35;47;25;21;6;3;16;3
708;GSW @ POR;02/08/2023;L;48;122;46;97;47.4;21;49;42.9;9;10;90.0;10;22;32;31;11;11;2;24;-3
709;DAL @ LAC;02/08/2023;W;48;110;41;78;52.6;17;35;48.6;11;17;64.7;8;36;44;26;18;7;6;20;6
710;OKC @ LAL;02/07/2023;W;48;133;49;94;52.1;17;34;50.0;18;20;90.0;7;30;37;32;13;12;2;18;3
711;BKN vs. PHX;02/07/2023;L;48;112;38;79;48.1;9;28;32.1;27;31;87.1;5;31;36;25;17;11;2;21;-4
712;ATL @ NOP;02/07/2023;L;48;107;38;85;44.7;12;36;33.3;19;25;76.0;10;31;41;30;12;4;6;21;-9
713;LAL vs. OKC;02/07/2023;L;48;130;49;85;57.6;14;31;45.2;18;26;69.2;6;35;41;27;21;8;3;19;-3
714;NYK @ ORL;02/07/2023;W;48;102;37;81;45.7;15;43;34.9;13;19;68.4;11;32;43;21;11;6;2;22;4
715;ORL vs. NYK;02/07/2023;L;48;98;37;79;46.8;6;25;24.0;18;24;75.0;9;32;41;23;11;4;4;19;-4
716;MIN @ DEN;02/07/2023;L;48;112;40;85;47.1;10;35;28.6;22;26;84.6;8;28;36;24;17;6;7;16;-34
717;CHI @ MEM;02/07/2023;L;48;89;32;87;36.8;7;35;20.0;18;27;66.7;11;38;49;24;20;9;3;16;-15
718;DEN vs. MIN;02/07/2023;W;48;146;58;93;62.4;13;27;48.1;17;22;77.3;6;38;44;44;11;12;5;21;34
719;NOP vs. ATL;02/07/2023;W;48;116;45;91;49.5;12;32;37.5;14;21;66.7;13;34;47;28;10;8;2;19;9
720;MEM vs. CHI;02/07/2023;W;48;104;39;81;48.1;11;33;33.3;15;21;71.4;5;34;39;22;14;10;7;21;15
721;PHX @ BKN;02/07/2023;W;48;116;43;92;46.7;9;31;29.0;21;28;75.0;16;32;48;31;15;10;4;24;4
722;WAS vs. CLE;02/06/2023;L;48;91;35;82;42.7;6;28;21.4;15;19;78.9;7;30;37;20;14;8;5;18;-23
723;DAL @ UTA;02/06/2023;W;48;124;41;88;46.6;15;39;38.5;27;31;87.1;17;32;49;26;14;6;4;25;13
724;CHI vs. SAS;02/06/2023;W;48;128;50;89;56.2;6;22;27.3;22;25;88.0;7;42;49;27;14;10;6;12;24
725;DET vs. BOS;02/06/2023;L;48;99;37;87;42.5;9;33;27.3;16;21;76.2;9;33;42;22;9;9;6;20;-12
726;POR vs. MIL;02/06/2023;L;48;108;37;91;40.7;9;36;25.0;25;29;86.2;1;27;28;23;9;5;2;20;-19
727;GSW vs. OKC;02/06/2023;W;48;141;56;97;57.7;26;50;52.0;3;7;42.9;11;34;45;43;16;6;3;17;27
728;SAC @ HOU;02/06/2023;W;48;140;52;89;58.4;21;41;51.2;15;18;83.3;7;28;35;38;10;9;5;22;20
729;OKC @ GSW;02/06/2023;L;48;114;44;91;48.4;11;32;34.4;15;21;71.4;7;29;36;21;11;8;3;10;-27
730;BOS @ DET;02/06/2023;W;48;111;39;83;47.0;16;37;43.2;17;21;81.0;10;41;51;25;12;2;5;22;12
731;MIL @ POR;02/06/2023;W;48;127;47;87;54.0;16;42;38.1;17;21;81.0;7;48;55;27;16;4;2;27;19
732;BKN vs. LAC;02/06/2023;L;48;116;41;84;48.8;16;31;51.6;18;22;81.8;8;34;42;21;16;4;5;26;-8
733;SAS @ CHI;02/06/2023;L;48;104;40;90;44.4;8;26;30.8;16;17;94.1;6;32;38;25;18;7;3;23;-24
734;LAC @ BKN;02/06/2023;W;48;124;44;92;47.8;12;30;40.0;24;30;80.0;11;35;46;20;9;11;5;19;8
735;UTA vs. DAL;02/06/2023;L;48;111;41;87;47.1;6;31;19.4;23;26;88.5;10;27;37;21;13;4;4;23;-13
736;CLE @ WAS;02/06/2023;W;48;114;44;78;56.4;12;29;41.4;14;20;70.0;7;36;43;26;17;9;6;15;23
737;HOU vs. SAC;02/06/2023;L;48;120;44;88;50.0;13;32;40.6;19;24;79.2;11;28;39;27;14;5;4;15;-20
738;ORL @ CHA;02/05/2023;W;48;119;42;91;46.2;8;23;34.8;27;30;90.0;18;34;52;25;12;6;2;18;6
739;DEN @ MIN;02/05/2023;L;48;98;34;71;47.9;6;25;24.0;24;31;77.4;3;34;37;19;22;6;5;23;-30
740;MIN vs. DEN;02/05/2023;W;48;128;48;87;55.2;10;27;37.0;22;30;73.3;5;29;34;33;11;7;3;23;30
741;TOR @ MEM;02/05/2023;W;48;106;44;101;43.6;11;36;30.6;7;12;58.3;11;31;42;24;11;11;3;16;3
742;CLE @ IND;02/05/2023;W;48;122;46;88;52.3;15;37;40.5;15;16;93.8;8;38;46;33;13;7;5;20;19
743;PHI @ NYK;02/05/2023;L;48;97;30;74;40.5;7;25;28.0;30;36;83.3;8;36;44;23;12;4;4;23;-11
744;NYK vs. PHI;02/05/2023;W;48;108;34;79;43.0;12;36;33.3;28;39;71.8;14;35;49;21;12;5;1;28;11
745;MEM vs. TOR;02/05/2023;L;48;103;38;78;48.7;10;27;37.0;17;23;73.9;8;36;44;25;20;10;9;16;-3
746;IND vs. CLE;02/05/2023;L;48;103;40;92;43.5;8;32;25.0;15;22;68.2;12;30;42;28;13;3;6;20;-19
747;CHA vs. ORL;02/05/2023;L;48;113;45;83;54.2;12;33;36.4;11;23;47.8;8;31;39;28;15;8;6;23;-6
748;NOP vs. SAC;02/05/2023;W;48;136;48;85;56.5;14;26;53.8;26;34;76.5;12;36;48;26;11;11;3;23;32
749;SAC @ NOP;02/05/2023;L;48;104;35;82;42.7;11;42;26.2;23;27;85.2;11;27;38;23;15;5;5;22;-32
750;NYK vs. LAC;02/04/2023;L;53;128;45;94;47.9;18;40;45.0;20;26;76.9;10;36;46;30;10;6;3;30;-6
751;ATL @ DEN;02/04/2023;L;48;108;44;91;48.4;6;20;30.0;14;17;82.4;10;33;43;26;16;7;7;18;-20
752;LAL @ NOP;02/04/2023;L;48;126;45;94;47.9;11;32;34.4;25;33;75.8;13;31;44;30;9;4;3;20;-5
753;PHX @ DET;02/04/2023;W;48;116;42;75;56.0;11;23;47.8;21;31;67.7;10;36;46;34;17;10;2;23;16
754;DET vs. PHX;02/04/2023;L;48;100;35;81;43.2;16;42;38.1;14;22;63.6;9;21;30;23;16;8;2;27;-16
755;OKC vs. HOU;02/04/2023;W;48;153;56;97;57.7;21;46;45.7;20;23;87.0;9;33;42;39;9;11;6;19;32
756;POR @ CHI;02/04/2023;L;48;121;44;87;50.6;14;43;32.6;19;21;90.5;7;26;33;22;9;3;3;19;-8
